"names","estimate","robust_se","2.5%","97.5%","z","p_value"
"(Intercept)",-3.6102087200539,0.663192856902105,-4.91006671958203,-2.31035072052577,-5.44367853555879,5.21913721129863e-08
"assigned_treatment",-0.282945049457361,0.313778166008425,-0.897950254833874,0.332060155919151,-0.901735939937149,0.367197156417417
"trial_period",0.00232217857584986,0.00407105284084305,-0.00565708499220252,0.0103014421439022,0.570412290538821,0.568398095464313
"I(trial_period^2)",-2.92089872544427e-07,9.50799489971823e-06,-1.89277598759922e-05,1.83435801309033e-05,-0.0307204490142378,0.975492482903047
"followup_time",0.00286485685108624,0.00339185294828553,-0.0037831749275534,0.00951288862972587,0.844628848822686,0.398318096631153
"I(followup_time^2)",-6.97611229704742e-06,1.61555609278829e-05,-3.86410117156978e-05,2.4688787121603e-05,-0.431808733115999,0.665880431762516
"catvarA",0.0528453747008562,0.0304124239957565,-0.00676297633082649,0.112453725732539,1.73762455463037,0.0822769903060112
"catvarB",-0.057114034556917,0.0294997428123383,-0.1149335304691,0.000705461355266036,-1.93608584726471,0.0528571876031596
"nvarA",-0.0818295923835247,0.0449292006913565,-0.169890825738584,0.00623164097153406,-1.82130087169049,0.0685611340199057
"nvarB",0.0049381592886538,0.00230422076885337,0.000421886581701201,0.0094544319956064,2.14309295159732,0.0321056353248623
"nvarC",-0.0401085688607782,0.00685405505207718,-0.0535425167628494,-0.0266746209587069,-5.85180138706691,4.86277129674306e-09
